period_end,half,aum_end_filing_jpym,aum_end_nowcast_jpym,aum_avg_filing_jpym,aum_avg_nowcast_jpym,net_flow_jpym,etf_implied_flow_jpym,jita_equity_flow_bn,jita_etf_flow_bn,blended_return,nikkei_ret,tag
2020-09-30,H1,,,,,,0.0,50068.44,39511.12,,0.283398436021878,[Filing/Market]
2021-03-31,H2,,,,,,0.0,38103.16,19808.380000000005,,0.2585141617893549,[Filing/Market]
2021-09-30,H1,,,,,,0.0,57452.83,12900.85,,0.002170584220841,[Filing/Market]
2022-03-31,H2,,,,,,0.0,56088.33,5229.300000000001,,-0.0330067882315596,[Filing/Market]
2022-09-30,H1,,,,,,0.0,39670.44,1379.0799999999997,,-0.0624871955361467,[Filing/Market]
2023-03-31,H2,1275900.0,,,,40511.3,0.0,39993.57,945.2499999999998,0.06985415782694723,0.0811293680080169,[Filing/Market]
2023-09-30,H1,,,,,,0.0,47683.22,13452.36,,0.1360890583550957,[Filing/Market]
2024-03-31,H2,1308000.0,1645050.5,,1645050.5,64462.8,0.0,64598.420000000006,9887.41,0.2388022177794738,0.2671832514555579,[Filing/Market]
2024-09-30,H1,1249500.0,1336123.2,1278750.0,1307436.6,95223.3,0.0,95634.8,8131.79,-0.05129974510344824,-0.0473214283085552,[Filing/Market]
2025-03-31,H2,1297300.0,1254392.7,1273400.0,1263896.4,83959.4,0.0,85125.01999999999,5796.17,-0.06327863959168206,-0.0785059663034628,[Filing/Market]
2025-09-30,H1,1373300.0,1628034.3,1335300.0,1481667.2,32242.6,0.0,36714.4,-12976.65,0.23008689479538988,0.2612851700578529,[Filing/Market]
2026-03-31,H2,1335700.0,,1354500.0,,,0.0,119490.54,12358.009999999998,,0.1461895106171686,[Filing/Market]
