period_end,half,march_nikkei_ret,march_blended_ret,march_value_ret
2020-09-30,H1,0.283398436021878,0.283398436021878,
2021-03-31,H2,0.07675919729672165,0.07675919729672165,
2021-09-30,H1,0.002170584220841,0.002170584220841,
2022-03-31,H2,-0.04068805799142705,0.0,
2022-09-30,H1,-0.0624871955361467,-0.0624871955361467,
2023-03-31,H2,0.1005071374355413,0.1005071374355413,
2023-09-30,H1,0.1360890583550957,0.1360890583550957,
2024-03-31,H2,0.22080552697098743,0.20936516915993497,0.1881187903679804
2024-09-30,H1,-0.0473214283085552,-0.0473214283085552,
2025-03-31,H2,-0.08498653955539626,0.006384748887158531,0.018242139677595803
2025-09-30,H1,0.2612851700578529,0.2612851700578529,
2026-03-31,H2,-0.007608090554833913,0.022699197035206908,0.06485484867201974
